#{"t_start": 1555826226.702278, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
-47,1299,17285.049428
-126,8055,17332.711603
-47,2735,17356.64847
-222,7997,17403.940726
-390,7997,17458.868508
-310,7997,17513.903548
-332,7997,17561.132641
58,3353,17588.762115
-159,4019,17612.462924
-399,7997,17667.622935
-22,2193,17680.601396
-165,8055,17728.306319
-44,8055,17783.831374
-173,8055,17839.365454
-323,7997,17886.651429
-309,7997,17941.950014
-118,7997,17997.205814
-336,6899,18037.915465
-285,7997,18093.237796
-330,7997,18148.548935
-249,6472,18186.728942
89,791,18191.397898
-234,7997,18247.328213
-234,7997,18302.780285
48,1393,18311.015251
-222,7997,18358.204287
-264,7997,18413.682737
-162,8055,18469.998997
-227,7997,18517.252755
-374,7997,18572.813203
-1,1253,18580.227019
-168,3375,18608.542805
-313,7997,18655.673537
-327,7997,18711.246621
-380,7997,18767.476341
-408,7997,18814.557298
-429,7997,18870.074881
-296,7997,18925.793511
-305,7997,18972.812161
-388,7997,19028.416113
-315,7997,19084.148073
-92,2665,19099.842221
122,962,19105.538998
-357,7997,19152.708978
-329,7997,19208.390069
-392,7997,19264.095684
-439,7997,19311.237462
-260,5541,19352.497705
-37,1200,19359.575602
-422,7997,19415.335125
-449,7997,19462.465952
-421,7997,19518.262552
-455,7997,19574.854975
-434,7997,19621.943059
-425,7997,19677.851205
-325,6638,19725.913452
-106,2388,19740.01382
-296,7997,19787.133859
-406,7997,19843.12717
-398,7997,19899.065499
-136,2771,19915.429073
-315,7997,19971.471798
-250,5038,20001.227645
-421,7997,20057.338861
-414,7997,20104.468723
-105,2779,20129.888308
-302,6566,20168.601445
-429,7997,20224.715307
-438,7997,20280.868789
-334,7997,20328.024243
-241,7997,20384.281814
-95,8055,20440.941664
-237,7997,20488.181567
-323,7997,20544.484306
-445,7997,20600.802143
-325,7997,20647.937884
-27,8055,20704.7658
-225,7997,20761.236722
122,643,20765.040505
173,544,20768.284362
-101,8055,20815.921733
-237,7997,20872.375785
-139,4350,20898.020116
-378,7997,20954.433096
-311,7997,21011.102983
-436,7997,21058.258976
-235,7997,21114.897884
-282,7997,21171.495212
-329,7997,21218.716233
-178,4035,21252.005415
-354,7997,21299.211186
-339,7997,21355.829063
-157,8055,21412.856997
-290,7997,21460.032982
-286,7997,21517.075676
55,859,21522.151983
-336,7997,21578.965962
-144,3736,21601.007257
-384,7997,21657.765412
-330,7997,21705.019473
-132,8055,21762.217756
-275,7997,21819.509853
-404,7997,21866.67838
-273,7997,21923.529824
-291,7997,21980.451473
-218,4406,22006.506792
-24,8055,22063.901445
-44,2011,22075.792007
-101,7997,22132.873144
-293,7997,22179.981045
132,1371,22188.089454
-377,7997,22245.002724
-257,7997,22302.105925
-143,2825,22318.761644
-138,8055,22376.16642
53,984,22381.985892
-222,4867,22410.707181
-194,8055,22468.304332
-72,2611,22483.732
-267,7997,22540.953919
-343,7997,22588.103938
-344,7997,22645.301545
-143,7997,22702.454165
43,2474,22717.062581
-390,7997,22774.31288
-448,7997,22821.488288
-410,7997,22878.70858
-442,7997,22935.985564
-241,5537,22968.566549
-449,7997,23025.904719
-451,7997,23072.97527
-455,7997,23130.263242
-372,7431,23184.879142
-426,7997,23231.958161
-123,2994,23259.846202
-435,7997,23306.985892
-342,7997,23364.493901
-167,4079,23388.559468
-390,7997,23446.008356
-347,7997,23503.517833
89,402,23505.901721
-276,7997,23553.065825
-164,3475,23583.947949
-198,6095,23619.901095
-406,7997,23677.460621
-393,7997,23724.648315
-132,2594,23750.529279
